train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt
abcd_2_scans,age,133,0.0737760635969428,-0.0144819966123511,0.1460453901447382,6.832092202878075,6.482668479893268,7.273262239282799,
abcd_2_scans,age,165,0.0788237776897797,-0.0061623285674219,0.1626158200452251,6.862298787865955,6.5283849286559725,7.241341908142588,
abcd_2_scans,age,203,0.0914211880711337,0.0171610496979823,0.1574051374791467,6.849770043727544,6.544792301599872,7.195555360946233,
abcd_2_scans,age,251,0.1001418728146611,0.0140321551336563,0.1671187756225496,6.860418076226233,6.516275019609736,7.220392549605917,
abcd_2_scans,age,310,0.1030080004538378,0.0253965652863788,0.1861239988924589,6.8403214267847385,6.5285304911410575,7.212884540425839,
abcd_2_scans,age,382,0.1143760311346966,0.0325184123710535,0.1833539507021234,6.819400496826651,6.532362557669445,7.224515083976826,
abcd_2_scans,age,472,0.1211586753409534,0.0380722300597582,0.1862932551809834,6.804943111087113,6.447900358887459,7.201606235939329,
abcd_2_scans,age,583,0.131619800404435,0.0697631876784597,0.191124997070419,6.721464507557358,6.44882623925064,7.1067074124718825,
abcd_2_scans,age,720,0.1433737293819592,0.0830591578255848,0.1943011471992915,6.652492687726424,6.3408897171733205,6.952689697084904,
abcd_2_scans,age,888,0.154387191034608,0.0899988703363119,0.2065725721862836,6.577082045215386,6.360830284049109,6.826062532985332,
abcd_2_scans,age,1097,0.1594814117650625,0.0874508977265956,0.2162183470995357,6.564321606068379,6.348608105607363,6.7992704777654565,
abcd_2_scans,age,1354,0.1675866222420657,0.1004894946404161,0.2289725258931824,6.532720757640321,6.305184499115567,6.782153214211092,
abcd_2_scans,age,1672,0.1706876007984046,0.0984789009678674,0.2343582501066724,6.526341377161334,6.271181419708851,6.770274422227928,
abcd_2_scans,age,2064,0.175779221628619,0.1127591778661287,0.2589439406396955,6.495110194230346,6.296086487187803,6.74276520222884,
abcd_2_scans,age,2548,0.1832654915065182,0.1237094659943158,0.2478346396320188,6.486137941024625,6.290415717222599,6.721404637131328,
abcd_2_scans,age,3146,0.1861112490078747,0.1213251904945277,0.2496612615731249,6.474468491475179,6.273742281453492,6.714863235862903,
abcd_3_scans,age,20,0.0314494924631357,-0.0555847565493512,0.1195584686348859,6.739992591567621,6.478786147427927,7.263493136360282,
abcd_3_scans,age,25,0.0371013810077511,-0.061978521512407,0.1432626597333955,6.766348519861636,6.46101148389476,7.158767944943961,
abcd_3_scans,age,30,0.0458988681538584,-0.0630861548718512,0.1237796085690383,6.789925000752357,6.511211682752472,7.133717537375768,
abcd_3_scans,age,38,0.0431880033525846,-0.0543799562519699,0.1302966450462625,6.805694447734744,6.496353485061508,7.2307125131195,
abcd_3_scans,age,46,0.0443533940339019,-0.0486995980785852,0.1336487379643102,6.833558001235337,6.506502265510443,7.3045326078888175,
abcd_3_scans,age,57,0.0480467030168894,-0.0327515485958974,0.1440785438649875,6.837685000125453,6.498014839062542,7.3440339042805,
