train_dataset,pheno,num_train,r_med,r_lower,r_upper
hbn,attn,652,0.0026999686188070504,-0.13170249918661625,0.14353484967670402
hbn,attn,872,-0.003298416597037,-0.12680013074884186,0.12275427222607728
hbn,attn,950,-0.00567891332140635,-0.12703170285806611,0.11553840590425149
hbn,mr,20,0.0992135210896278,-0.2272430226649843,0.3282213910468335
hbn,mr,27,0.11552322188395014,-0.18111089298020205,0.3524712052391495
hbn,mr,36,0.16357844473103222,-0.1447562771815385,0.3538034749197663
hbn,mr,48,0.1430372539947983,-0.08928418778329092,0.36238738583223645
hbn,mr,64,0.1766497580290392,-0.06144129160015043,0.33178034041778953
hbn,mr,85,0.194867281222293,-0.0344527557527059,0.35360914475904565
hbn,mr,114,0.20867074669017754,0.0015755170857255454,0.3642230159562426
hbn,mr,153,0.23460402102870942,0.024688843298717615,0.3703744503135999
hbn,mr,204,0.25550007176616185,0.04239562074324683,0.3767229998272682
hbn,mr,273,0.25375881999220834,0.09991897138479203,0.38581537246903974
hbn,mr,365,0.2593535647207714,0.13886448822323663,0.38243406788163425
hbn,mr,488,0.2712161007870635,0.13538123890136033,0.3764936387363032
hbn,mr,652,0.2774636226336032,0.15935148333551222,0.3740352722529334
hbn,mr,824,0.27883016717318476,0.1758381787042725,0.37176508174100703
hcpd,age,20,0.5596812806600663,0.3338309066254509,0.7241949021586024
hcpd,age,27,0.592566722957941,0.35685325321066397,0.7471881957026828
hcpd,age,36,0.6237163755529045,0.4235269725122161,0.7611074411220382
hcpd,age,48,0.6469888862430976,0.49757072703189903,0.7635311600469027
hcpd,age,64,0.6612613199362609,0.5234424022157456,0.7647864810477957
hcpd,age,85,0.6833074751251513,0.539887824340367,0.785226372715913
hcpd,age,114,0.7172009630025087,0.5886219494086242,0.8059520638339136
hcpd,age,153,0.7310026924748503,0.6137733527348069,0.8094468815226277
hcpd,age,204,0.7387104072066187,0.6719636610103247,0.8138147245145729
hcpd,age,273,0.7513705832895665,0.6886822234224576,0.8201722187656124
hcpd,age,365,0.759549555064245,0.69869335814325,0.8142247597322133
hcpd,age,488,0.7712175055182464,0.7135692182876737,0.8262139496565851
hcpd,age,505,0.7682524371992929,0.7071623374844032,0.8358124581904307
hcpd,attn,20,0.0074999689212941,-0.22410822530448893,0.22142436874969182
hcpd,attn,27,0.0034384504751925,-0.2247130462830639,0.23030698745247363
hcpd,attn,36,0.03061999491407555,-0.19225136213743219,0.24484839204802342
hcpd,attn,48,0.0012987510596082,-0.17002183824625047,0.21277969671390531
hcpd,attn,64,0.02281730185290145,-0.17331146435222355,0.17759980957524785
hcpd,attn,85,0.0181326718565641,-0.1742862047807394,0.2133762685495136
hcpd,attn,114,0.00777323186750915,-0.1498165544915257,0.21122429801241938
hcpd,attn,153,0.020347715393903,-0.17095786626853118,0.21354772839466218
hcpd,attn,204,0.020907827987373548,-0.1759595815411639,0.24179704448884654
hcpd,attn,273,0.01697797135024225,-0.18503934830914265,0.17561556673547937
hcpd,attn,362,0.0196863620149801,-0.14762527596497424,0.15936769760734762
hcpd,mr,20,0.15529420913151748,-0.1711423042236491,0.3832166773149215
hcpd,mr,27,0.1890382131717793,-0.16544390469509093,0.37733055816668243
hcpd,mr,36,0.18102724991670127,-0.07679835579921998,0.39250765544326716
hcpd,mr,48,0.1862151208560578,-0.011121235241479527,0.3849412242548615
hcpd,mr,64,0.21207703230635472,0.009604825587468828,0.3927511442823091
hcpd,mr,85,0.2384677633808526,0.06111242863253251,0.41701717285003986
hcpd,mr,114,0.25427830624502284,0.056027064299729396,0.4270556423946031
hcpd,mr,153,0.25404192456014185,0.041511975127026854,0.4202661978860269
hcpd,mr,204,0.2863397304209782,0.09280809593888734,0.4147951332113456
hcpd,mr,273,0.27521052894782844,0.043471019140695434,0.40702652429193625
hcpd,mr,324,0.2773006094316308,0.0970983097730471,0.4130400585073963
pnc,age,20,0.25842303076953255,-0.06869020723742279,0.3984886880203721
pnc,age,27,0.28051974382192446,0.0013047203274450326,0.43150123540891094
pnc,age,36,0.305829949548476,0.08527189809363227,0.45227471389712354
pnc,age,48,0.32284818970099044,0.14873146552139638,0.46689028497428814
pnc,age,64,0.3430131839687576,0.21574811953770795,0.4906177994161349
pnc,age,85,0.3686540380076201,0.23794557426015622,0.5027158822751292
pnc,age,114,0.388966848312012,0.28444481335473015,0.5261420416192826
pnc,age,153,0.409320090293656,0.2967623059140823,0.5228192437330615
pnc,age,204,0.4379981078144496,0.29335798928580953,0.5544562475774747
pnc,age,273,0.4428318908109513,0.33880452557452023,0.5622375159713204
pnc,age,365,0.4627129531368811,0.36573509868649223,0.5797326598111419
pnc,age,488,0.4750389409926028,0.38903812448492403,0.5835148369348162
pnc,age,652,0.49028607809983304,0.3978512953670123,0.5922777435965281
pnc,age,872,0.5171384200811632,0.42052826612908484,0.6029225389640361
pnc,age,926,0.5232902557272296,0.4317165895728287,0.5989079367637282
pnc,attn,20,0.01410203617494685,-0.1646192061399034,0.18878825693223872
pnc,attn,27,0.0223237401351335,-0.15043742754502945,0.15966774495019032
pnc,attn,36,0.01993958453160135,-0.14089664086900258,0.21179310129740994
pnc,attn,48,0.02770490471474095,-0.12005634466086287,0.12522092185377257
pnc,attn,64,0.0335168145315183,-0.11781875546876627,0.13717413225979422
pnc,attn,85,0.030391135548432202,-0.11010551729166049,0.15176021616678045
pnc,attn,114,0.0218936910722851,-0.0949154548561146,0.13784067493863345
pnc,attn,153,0.023502609465232797,-0.11266514999836533,0.13057526335831793
pnc,attn,204,0.0269151181810762,-0.09279735990744212,0.13416024462370088
pnc,attn,273,0.0231984369446524,-0.11957032796109449,0.16191306697336222
pnc,attn,365,0.029029652107426147,-0.11511613192104851,0.17991355123402267
pnc,attn,488,0.03061704806060355,-0.1197642538790318,0.17025706675206076
pnc,attn,652,0.0130547830403521,-0.08715331682742909,0.1711042868693018
pnc,attn,872,0.028594488456975202,-0.10439417792799385,0.1333139149752353
pnc,attn,904,0.018772775126286202,-0.09088864977755172,0.12658269478772963
pnc,mr,20,0.05564416100507275,-0.10837794986770298,0.27784369995165853
pnc,mr,27,0.08271921751420616,-0.08381820521662614,0.28048215165258544
pnc,mr,36,0.09475360342588285,-0.10832591317673161,0.27122429993163966
pnc,mr,48,0.1183202914334131,-0.1171751655388433,0.28703666823081914
pnc,mr,64,0.13702856760078846,-0.036218208642313156,0.29454297637239274
pnc,mr,85,0.1417361397549486,0.02222912053175054,0.27362992233590105
pnc,mr,114,0.1769827873090687,0.024060453552681785,0.30654205913529425
pnc,mr,153,0.19090366515406096,0.05328773549766465,0.3367023776430558
pnc,mr,204,0.21656641472970278,0.10696254274022336,0.35608717270694557
pnc,mr,273,0.23173061502910236,0.09688444162007614,0.3582938347203587
pnc,mr,365,0.2513379402104806,0.13309590876876562,0.37330332248966486
pnc,mr,488,0.25604088520744694,0.1488845778603923,0.3660485219260618
pnc,mr,652,0.26833599585447054,0.165846731458551,0.38020995906784844
pnc,mr,872,0.2756673556975035,0.14925704008591154,0.38009658302141397
pnc,mr,919,0.2776545852489951,0.15839921125399287,0.3615803796335234
