train_dataset,pheno,num_train,train_seed,r_internal,q2_internal
abcd,mr_scaled,27,66,0.0433913709857355,-0.0292650984012612
abcd,mr_scaled,27,67,-0.0522557157372416,-0.0065803767558374
abcd,mr_scaled,27,68,-0.0026418632338376,-0.3376467363011886
abcd,mr_scaled,27,69,0.0363341161291484,3.355945018124196e-05
abcd,mr_scaled,27,70,0.0932606668328226,-0.0285087485882082
abcd,mr_scaled,27,71,0.0606036885304771,-0.0056432870091689
abcd,mr_scaled,27,72,-0.0573877621743291,-0.0078169611778453
abcd,mr_scaled,27,73,0.0180960069464913,-0.0013114834771918
abcd,mr_scaled,27,74,0.0379663276787797,-0.0397091509643583
abcd,mr_scaled,27,75,0.0428806283314135,-0.0536758458098223
abcd,mr_scaled,27,76,-0.0240797427153966,-0.119488945967763
abcd,mr_scaled,27,77,0.0676186129332141,-0.1780035299912219
abcd,mr_scaled,27,78,0.0249509507912815,-0.0054166133270638
abcd,mr_scaled,27,79,0.1030438635776002,-0.0076168209395817
abcd,mr_scaled,27,80,-0.0144935945773892,-0.0382011707051976
abcd,mr_scaled,27,81,0.0141447202598894,-0.0045172949807803
abcd,mr_scaled,27,82,0.0455907497199112,-0.0046945808489184
abcd,mr_scaled,27,83,0.120336478412482,-0.123750529037873
abcd,mr_scaled,27,84,-0.0799390186071827,-0.0731014280953776
abcd,mr_scaled,27,85,0.0515482541418875,-0.0101743683768722
abcd,mr_scaled,27,86,0.0157707865048285,-0.0036353486386393
abcd,mr_scaled,27,87,0.0313315338512847,-0.0001751642249963
abcd,mr_scaled,27,88,0.0143616234241206,-0.0010796757158564
abcd,mr_scaled,27,89,-0.0314791823939631,-0.0286085092794303
abcd,mr_scaled,27,90,-0.1278138781880111,-0.0400379544650728
abcd,mr_scaled,27,91,-0.013904309324781,-0.1583858685764143
abcd,mr_scaled,27,92,-0.0428845650522488,-0.0108124405693672
abcd,mr_scaled,27,93,0.0208833072567847,-0.0014405532825552
abcd,mr_scaled,27,94,0.1019589941821214,-0.0417730655647343
abcd,mr_scaled,27,95,-0.0278264860832588,-0.0948721095684004
abcd,mr_scaled,27,96,-0.095449356860593,-0.250607615810211
abcd,mr_scaled,27,97,0.0634444857454175,0.0034629052475619
abcd,mr_scaled,27,98,0.02680007897357,-0.293455522786656
abcd,mr_scaled,27,99,-0.0629786381387207,-0.008090512501343
abcd,mr_scaled,36,0,0.0725764214747081,-0.1998684776987156
abcd,mr_scaled,36,1,-0.0530303203287,-0.0077945695549939
abcd,mr_scaled,36,2,0.0676155033411045,-0.0158871416683745
abcd,mr_scaled,36,3,-0.0330616326810022,-0.0429205369935907
abcd,mr_scaled,36,4,0.0396690454113582,-0.0006650390504641
abcd,mr_scaled,36,5,0.0122653644302253,-0.0035055930122864
