train_dataset,test_dataset,pheno,num_train,num_test,sig_external,r_med,r_ground_truth,sig_ground_truth,infl_med
abcd,hbn,attn,20,365,1.0,0.11296121077959935,-0.0094976197272978,0.0,0.12245883050689715
abcd,hbn,attn,20,488,0.0,-0.02528893661429615,-0.0094976197272978,0.0,-0.01579131688699835
abcd,hbn,attn,20,488,1.0,0.0996766439340796,-0.0094976197272978,0.0,0.1091742636613774
abcd,hbn,attn,20,652,0.0,-0.0300764415800783,-0.0094976197272978,0.0,-0.0205788218527805
abcd,hbn,attn,20,652,1.0,0.0898785113738813,-0.0094976197272978,0.0,0.0993761311011791
abcd,hbn,attn,20,872,0.0,-0.0334283367989798,-0.0094976197272978,0.0,-0.023930717071682
abcd,hbn,attn,20,872,1.0,0.081828652983157,-0.0094976197272978,0.0,0.0913262727104548
abcd,hbn,attn,20,1150,0.0,-0.03528543885281425,-0.0094976197272978,0.0,-0.02578781912551645
abcd,hbn,attn,20,1150,1.0,0.07549769529990219,-0.0094976197272978,0.0,0.0849953150272
abcd,hbn,attn,27,20,0.0,-0.0201419581516105,-0.0094976197272978,0.0,-0.0106443384243127
abcd,hbn,attn,27,20,1.0,0.4498285311898629,-0.0094976197272978,0.0,0.45932615091716067
abcd,hbn,attn,27,27,0.0,-0.0179721096432173,-0.0094976197272978,0.0,-0.008474489915919498
abcd,hbn,attn,27,27,1.0,0.3848875912671754,-0.0094976197272978,0.0,0.3943852109944732
abcd,hbn,attn,27,36,0.0,-0.0213198179612668,-0.0094976197272978,0.0,-0.011822198233969
abcd,hbn,attn,27,36,1.0,0.334030233305194,-0.0094976197272978,0.0,0.3435278530324918
abcd,hbn,attn,27,48,0.0,-0.0156043867856933,-0.0094976197272978,0.0,-0.006106767058395499
abcd,hbn,attn,27,48,1.0,0.2851144620970485,-0.0094976197272978,0.0,0.2946120818243463
abcd,hbn,attn,27,64,0.0,-0.0133192770064387,-0.0094976197272978,0.0,-0.0038216572791408988
abcd,hbn,attn,27,64,1.0,0.25190666693200403,-0.0094976197272978,0.0,0.2614042866593018
abcd,hbn,attn,27,85,0.0,-0.014839812071056,-0.0094976197272978,0.0,-0.0053421923437582
abcd,hbn,attn,27,85,1.0,0.2167149234139622,-0.0094976197272978,0.0,0.22621254314126
abcd,hbn,attn,27,114,0.0,-0.010841332807673049,-0.0094976197272978,0.0,-0.001343713080375248
abcd,hbn,attn,27,114,1.0,0.18986062639112916,-0.0094976197272978,0.0,0.19935824611842695
abcd,hbn,attn,27,153,0.0,-0.013861291370524,-0.0094976197272978,0.0,-0.004363671643226199
abcd,hbn,attn,27,153,1.0,0.1653943897613665,-0.0094976197272978,0.0,0.1748920094886643
abcd,hbn,attn,27,204,0.0,-0.0175057220880633,-0.0094976197272978,0.0,-0.0080081023607655
abcd,hbn,attn,27,204,1.0,0.1442490846602057,-0.0094976197272978,0.0,0.15374670438750349
abcd,hbn,attn,27,273,0.0,-0.0167644265226496,-0.0094976197272978,0.0,-0.007266806795351799
abcd,hbn,attn,27,273,1.0,0.1250929118010564,-0.0094976197272978,0.0,0.13459053152835418
abcd,hbn,attn,27,365,0.0,-0.01833896015620935,-0.0094976197272978,0.0,-0.008841340428911548
abcd,hbn,attn,27,365,1.0,0.11142668837568684,-0.0094976197272978,0.0,0.12092430810298464
abcd,hbn,attn,27,488,0.0,-0.0194842855996343,-0.0094976197272978,0.0,-0.0099866658723365
abcd,hbn,attn,27,488,1.0,0.0979194577421432,-0.0094976197272978,0.0,0.107417077469441
abcd,hbn,attn,27,652,0.0,-0.0231606670466026,-0.0094976197272978,0.0,-0.013663047319304799
abcd,hbn,attn,27,652,1.0,0.0859868478179325,-0.0094976197272978,0.0,0.09548446754523031
abcd,hbn,attn,27,872,0.0,-0.026314096667166102,-0.0094976197272978,0.0,-0.0168164769398683
abcd,hbn,attn,27,872,1.0,0.0778175406595181,-0.0094976197272978,0.0,0.0873151603868159
abcd,hbn,attn,27,1150,0.0,-0.02777951074230295,-0.0094976197272978,0.0,-0.018281891015005148
abcd,hbn,attn,27,1150,1.0,0.06693978308159775,-0.0094976197272978,0.0,0.07643740280889555
abcd,hbn,attn,36,20,0.0,-0.020035933896264548,-0.0094976197272978,0.0,-0.010538314168966747
