train_dataset,test_dataset,pheno,num_train,num_test,pos_rate,sig_ground_truth,r_ground_truth
abcd,hbn,attn,153,872,0.1319,0.0,-0.0094976197272978
abcd,hbn,attn,153,1150,0.17,0.0,-0.0094976197272978
abcd,hbn,attn,204,20,0.047,0.0,-0.0094976197272978
abcd,hbn,attn,204,27,0.049,0.0,-0.0094976197272978
abcd,hbn,attn,204,36,0.0495,0.0,-0.0094976197272978
abcd,hbn,attn,204,48,0.0456,0.0,-0.0094976197272978
abcd,hbn,attn,204,64,0.0483,0.0,-0.0094976197272978
abcd,hbn,attn,204,85,0.0469,0.0,-0.0094976197272978
abcd,hbn,attn,204,114,0.0492,0.0,-0.0094976197272978
abcd,hbn,attn,204,153,0.0523,0.0,-0.0094976197272978
abcd,hbn,attn,204,204,0.0587,0.0,-0.0094976197272978
abcd,hbn,attn,204,273,0.0632,0.0,-0.0094976197272978
abcd,hbn,attn,204,365,0.0705,0.0,-0.0094976197272978
abcd,hbn,attn,204,488,0.0806,0.0,-0.0094976197272978
abcd,hbn,attn,204,652,0.0902,0.0,-0.0094976197272978
abcd,hbn,attn,204,872,0.1052,0.0,-0.0094976197272978
abcd,hbn,attn,204,1150,0.12,0.0,-0.0094976197272978
abcd,hbn,attn,273,20,0.0469,0.0,-0.0094976197272978
abcd,hbn,attn,273,27,0.0489,0.0,-0.0094976197272978
abcd,hbn,attn,273,36,0.0525,0.0,-0.0094976197272978
abcd,hbn,attn,273,48,0.0464,0.0,-0.0094976197272978
abcd,hbn,attn,273,64,0.0485,0.0,-0.0094976197272978
abcd,hbn,attn,273,85,0.0473,0.0,-0.0094976197272978
abcd,hbn,attn,273,114,0.0498,0.0,-0.0094976197272978
abcd,hbn,attn,273,153,0.0507,0.0,-0.0094976197272978
abcd,hbn,attn,273,204,0.0553,0.0,-0.0094976197272978
abcd,hbn,attn,273,273,0.06,0.0,-0.0094976197272978
abcd,hbn,attn,273,365,0.0659,0.0,-0.0094976197272978
abcd,hbn,attn,273,488,0.0698,0.0,-0.0094976197272978
abcd,hbn,attn,273,652,0.0814,0.0,-0.0094976197272978
abcd,hbn,attn,273,872,0.0893,0.0,-0.0094976197272978
abcd,hbn,attn,273,1150,0.1,0.0,-0.0094976197272978
abcd,hbn,attn,365,20,0.0513,0.0,-0.0094976197272978
abcd,hbn,attn,365,27,0.0537,0.0,-0.0094976197272978
abcd,hbn,attn,365,36,0.0505,0.0,-0.0094976197272978
abcd,hbn,attn,365,48,0.0455,0.0,-0.0094976197272978
abcd,hbn,attn,365,64,0.0474,0.0,-0.0094976197272978
abcd,hbn,attn,365,85,0.0501,0.0,-0.0094976197272978
abcd,hbn,attn,365,114,0.0507,0.0,-0.0094976197272978
abcd,hbn,attn,365,153,0.0503,0.0,-0.0094976197272978
abcd,hbn,attn,365,204,0.0532,0.0,-0.0094976197272978
abcd,hbn,attn,365,273,0.0591,0.0,-0.0094976197272978
abcd,hbn,attn,365,365,0.0643,0.0,-0.0094976197272978
abcd,hbn,attn,365,488,0.0701,0.0,-0.0094976197272978
abcd,hbn,attn,365,652,0.0775,0.0,-0.0094976197272978
abcd,hbn,attn,365,872,0.0867,0.0,-0.0094976197272978
abcd,hbn,attn,365,1150,0.09,0.0,-0.0094976197272978
abcd,hbn,attn,488,20,0.0509,0.0,-0.0094976197272978
abcd,hbn,attn,488,27,0.0531,0.0,-0.0094976197272978
abcd,hbn,attn,488,36,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,488,48,0.0478,0.0,-0.0094976197272978
abcd,hbn,attn,488,64,0.0527,0.0,-0.0094976197272978
abcd,hbn,attn,488,85,0.0537,0.0,-0.0094976197272978
abcd,hbn,attn,488,114,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,488,153,0.0543,0.0,-0.0094976197272978
abcd,hbn,attn,488,204,0.056,0.0,-0.0094976197272978
abcd,hbn,attn,488,273,0.0617,0.0,-0.0094976197272978
abcd,hbn,attn,488,365,0.0668,0.0,-0.0094976197272978
abcd,hbn,attn,488,488,0.0697,0.0,-0.0094976197272978
abcd,hbn,attn,488,652,0.0754,0.0,-0.0094976197272978
abcd,hbn,attn,488,872,0.0815,0.0,-0.0094976197272978
abcd,hbn,attn,488,1150,0.09,0.0,-0.0094976197272978
abcd,hbn,attn,652,20,0.0457,0.0,-0.0094976197272978
abcd,hbn,attn,652,27,0.0456,0.0,-0.0094976197272978
abcd,hbn,attn,652,36,0.0454,0.0,-0.0094976197272978
abcd,hbn,attn,652,48,0.0456,0.0,-0.0094976197272978
abcd,hbn,attn,652,64,0.045,0.0,-0.0094976197272978
abcd,hbn,attn,652,85,0.0472,0.0,-0.0094976197272978
abcd,hbn,attn,652,114,0.0466,0.0,-0.0094976197272978
abcd,hbn,attn,652,153,0.0499,0.0,-0.0094976197272978
abcd,hbn,attn,652,204,0.0509,0.0,-0.0094976197272978
abcd,hbn,attn,652,273,0.0553,0.0,-0.0094976197272978
abcd,hbn,attn,652,365,0.0605,0.0,-0.0094976197272978
abcd,hbn,attn,652,488,0.0602,0.0,-0.0094976197272978
abcd,hbn,attn,652,652,0.0669,0.0,-0.0094976197272978
abcd,hbn,attn,652,872,0.0721,0.0,-0.0094976197272978
abcd,hbn,attn,652,1150,0.08,0.0,-0.0094976197272978
abcd,hbn,attn,872,20,0.053,0.0,-0.0094976197272978
abcd,hbn,attn,872,27,0.0518,0.0,-0.0094976197272978
abcd,hbn,attn,872,36,0.0493,0.0,-0.0094976197272978
abcd,hbn,attn,872,48,0.0472,0.0,-0.0094976197272978
abcd,hbn,attn,872,64,0.0523,0.0,-0.0094976197272978
abcd,hbn,attn,872,85,0.0529,0.0,-0.0094976197272978
abcd,hbn,attn,872,114,0.0491,0.0,-0.0094976197272978
abcd,hbn,attn,872,153,0.0554,0.0,-0.0094976197272978
abcd,hbn,attn,872,204,0.0558,0.0,-0.0094976197272978
abcd,hbn,attn,872,273,0.0607,0.0,-0.0094976197272978
abcd,hbn,attn,872,365,0.0657,0.0,-0.0094976197272978
abcd,hbn,attn,872,488,0.073,0.0,-0.0094976197272978
abcd,hbn,attn,872,652,0.0796,0.0,-0.0094976197272978
abcd,hbn,attn,872,872,0.0895,0.0,-0.0094976197272978
abcd,hbn,attn,872,1150,0.1,0.0,-0.0094976197272978
abcd,hbn,attn,1165,20,0.0514,0.0,-0.0094976197272978
abcd,hbn,attn,1165,27,0.0492,0.0,-0.0094976197272978
abcd,hbn,attn,1165,36,0.0451,0.0,-0.0094976197272978
abcd,hbn,attn,1165,48,0.0448,0.0,-0.0094976197272978
abcd,hbn,attn,1165,64,0.0492,0.0,-0.0094976197272978
abcd,hbn,attn,1165,85,0.0468,0.0,-0.0094976197272978
abcd,hbn,attn,1165,114,0.0452,0.0,-0.0094976197272978
abcd,hbn,attn,1165,153,0.0464,0.0,-0.0094976197272978
abcd,hbn,attn,1165,204,0.0481,0.0,-0.0094976197272978
abcd,hbn,attn,1165,273,0.0498,0.0,-0.0094976197272978
abcd,hbn,attn,1165,365,0.0512,0.0,-0.0094976197272978
