pheno,r_internal_external_diff,mae_internal_external_diff,mae_internal_external_diff,mae_internal,mae_external,train_dataset,test_dataset,num_train
age,0.0022619813855834,-10.09665942122388,-10.09665942122388,2.92549047263794,13.02214989386182,hcp_sc,chcp_sc,865
age,-0.110416028775254,-10.670446200296908,-10.670446200296908,3.357415784789811,14.02786198508672,hcp_sc,chcp_sc,67
age,0.061649219348952,-10.267892516393996,-10.267892516393996,2.9361990190040435,13.20409153539804,hcp_sc,chcp_sc,108
age,-0.1363527275843176,-10.85800772212183,-10.85800772212183,3.356815347013187,14.214823069135017,hcp_sc,chcp_sc,25
age,0.2674202076684365,-10.72866953891167,-10.72866953891167,3.134814687637096,13.863484226548769,hcp_sc,chcp_sc,358
age,-0.0598546786793199,-10.02958601597828,-10.02958601597828,3.025064882946841,13.054650898925122,hcp_sc,chcp_sc,455
age,-0.097853529031686,-9.837291588061683,-9.837291588061683,3.17536823801874,13.012659826080425,hcp_sc,chcp_sc,865
age,0.1138406857031478,-10.335948643940934,-10.335948643940934,2.781899422217905,13.11784806615884,hcp_sc,chcp_sc,735
age,-0.1566104413413667,-11.51607885775349,-11.51607885775349,2.949410194885783,14.465489052639272,hcp_sc,chcp_sc,67
age,-0.0796035661549484,-10.1621658345561,-10.1621658345561,3.255006880984808,13.417172715540907,hcp_sc,chcp_sc,174
age,-0.141507204302666,-9.844859106115736,-9.844859106115736,3.1478311450988543,12.99269025121459,hcp_sc,chcp_sc,221
age,0.1502024543710107,-10.788131102989205,-10.788131102989205,3.154719022852438,13.942850125841645,hcp_sc,chcp_sc,32
age,-0.051595344836415,-10.255414606744504,-10.255414606744504,3.22381701825872,13.479231625003225,hcp_sc,chcp_sc,221
age,0.0882837733878072,-9.612417302830906,-9.612417302830906,3.5493528287527467,13.161770131583651,hcp_sc,chcp_sc,32
age,0.1603337000995202,-10.559027930359688,-10.559027930359688,2.867619284028005,13.42664721438769,hcp_sc,chcp_sc,108
age,-0.1459653881061255,-11.545031121543088,-11.545031121543088,3.3432766844698305,14.888307806012916,hcp_sc,chcp_sc,25
age,0.0552059814405564,-10.019170664652904,-10.019170664652904,3.226499267205658,13.24566993185856,hcp_sc,chcp_sc,137
age,0.0504500944445955,-10.618254712989952,-10.618254712989952,3.0264885324813253,13.644743245471275,hcp_sc,chcp_sc,137
age,0.1010536042620715,-11.062182505096812,-11.062182505096812,3.157261950362676,14.219444455459488,hcp_sc,chcp_sc,25
age,-0.037120291540927,-10.025705665265471,-10.025705665265471,3.117840273269853,13.143545938535324,hcp_sc,chcp_sc,137
age,-0.0867994067111284,-9.859621089282216,-9.859621089282216,3.199454227643274,13.05907531692549,hcp_sc,chcp_sc,85
age,-0.0440464860424725,-10.088249634780798,-10.088249634780798,3.026354525133463,13.11460415991426,hcp_sc,chcp_sc,578
age,0.0502672182401619,-9.782284231844187,-9.782284231844187,3.276152910092646,13.058437141936832,hcp_sc,chcp_sc,20
age,-0.1611115560108027,-10.598359848013368,-10.598359848013368,3.505142734718945,14.103502582732313,hcp_sc,chcp_sc,25
age,0.1008603756771265,-10.525352881240943,-10.525352881240943,3.043705152025172,13.569058033266115,hcp_sc,chcp_sc,25
age,0.0670330143318939,-10.35156736125716,-10.35156736125716,3.126650725932798,13.478218087189957,hcp_sc,chcp_sc,137
age,-0.1001801976713771,-9.864699822722567,-9.864699822722567,3.0099161296950445,12.874615952417612,hcp_sc,chcp_sc,358
age,-0.0106435142315371,-10.192922432615283,-10.192922432615283,3.2163203180099083,13.409242750625191,hcp_sc,chcp_sc,25
age,0.0126151864465397,-9.632639957582365,-9.632639957582365,3.514304290720107,13.146944248302471,hcp_sc,chcp_sc,52
age,0.1012862713988967,-10.388224297753052,-10.388224297753052,2.997080699514931,13.385304997267982,hcp_sc,chcp_sc,358
age,-0.1029020885650129,-9.962591700883284,-9.962591700883284,3.0372019575867872,12.99979365847007,hcp_sc,chcp_sc,865
age,0.226115347838352,-10.422962957627131,-10.422962957627131,2.7755916916586325,13.198554649285766,hcp_sc,chcp_sc,358
age,0.2009375908524568,-10.992062712836171,-10.992062712836171,3.042232888179963,14.034295601016137,hcp_sc,chcp_sc,25
age,-0.0046832055704565,-10.156204173255936,-10.156204173255936,3.1783112846977737,13.334515457953708,hcp_sc,chcp_sc,281
age,0.0682787232758219,-10.730438816820094,-10.730438816820094,3.301845189582904,14.032284006402996,hcp_sc,chcp_sc,41
age,0.3183958682583839,-10.416858635568596,-10.416858635568596,2.972347250090738,13.389205885659337,hcp_sc,chcp_sc,137
age,-0.0117426627190408,-10.203721095674808,-10.203721095674808,3.145210096314836,13.348931191989644,hcp_sc,chcp_sc,221
age,0.0868980397577034,-10.39489540496264,-10.39489540496264,3.030595881753846,13.425491286716484,hcp_sc,chcp_sc,221
age,0.2963150995812984,-10.468459665873894,-10.468459665873894,3.2669856865752243,13.73544535244912,hcp_sc,chcp_sc,32
age,-0.0102517987728451,-10.921087109387257,-10.921087109387257,3.2273648698993207,14.148451979286577,hcp_sc,chcp_sc,32
