train_dataset,test_dataset,pheno,num_train,num_test,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,r_gt,mae_gt,r_pos_rate,mae_pos_rate,r_sig_ground_truth,mae_sig_ground_truth,r_ground_truth,mae_ground_truth
hcp_sc,chcp_sc,age,25,108,0.0532917083066291,-0.1555150254096709,0.2614188523117297,13.868767618772647,11.373005744647314,16.314404854435313,0.2669275522988148,13.12512188700058,0.1629,0.1354,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,137,0.0517182356849316,-0.1374754752382682,0.2419511732977032,13.980395410114571,11.938442285357644,15.753852585281404,0.2669275522988148,13.12512188700058,0.1728,0.1402,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,174,0.0504981505447086,-0.1196224804456739,0.2257366908628538,13.882361786410463,12.376446766575649,15.44778748219796,0.2669275522988148,13.12512188700058,0.1832,0.1454,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,221,0.0507385786270962,-0.1070748654015514,0.2129660776975821,13.818561681961638,12.545656277152316,15.0263859645899,0.2669275522988148,13.12512188700058,0.2102,0.1562,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,281,0.0534823627382124,-0.0964856905616539,0.2011342945086348,13.788369321515002,12.869628163310155,14.8190663815084,0.2669275522988148,13.12512188700058,0.231,0.1718,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,312,0.0512744475671357,-0.0856431096589725,0.1967758864506022,13.780046977559785,13.111202202380678,14.744585509175083,0.2669275522988148,13.12512188700058,0.24,0.1762,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,20,0.0527557055707338,-0.3853770446195459,0.4822097531668134,14.00564323581466,7.307250597094283,19.581506666239203,0.2669275522988148,13.12512188700058,0.0696,0.0634,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,25,0.0660516251436778,-0.3527517534562628,0.4547909639367806,14.027431826121838,7.989675804034315,19.93887678055318,0.2669275522988148,13.12512188700058,0.0868,0.074,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,32,0.0624698747989061,-0.3036297322111192,0.3938383239396665,13.855071148440144,8.301808573077931,19.320723786194733,0.2669275522988148,13.12512188700058,0.0894,0.0729,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,41,0.058331493824164,-0.2639072381531777,0.3622235755145643,13.953035144544486,9.36937698664642,18.29112194899053,0.2669275522988148,13.12512188700058,0.1037,0.084,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,52,0.0550676160049196,-0.2364733279880297,0.3383480312120969,13.902344321191684,9.869718557248234,17.87863799917069,0.2669275522988148,13.12512188700058,0.1201,0.0898,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,67,0.0551205373710188,-0.2090191291113423,0.3154300600779628,13.869861581284589,10.32924668914664,16.760410914541783,0.2669275522988148,13.12512188700058,0.1312,0.102,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,85,0.0562810911632882,-0.1901833996417115,0.291570622710993,13.75401975896436,10.883727761542657,16.41769280742778,0.2669275522988148,13.12512188700058,0.1525,0.1163,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,108,0.0575750733454085,-0.1670970442051171,0.2704007853995999,13.82567826472889,11.349215361475196,16.284403823403437,0.2669275522988148,13.12512188700058,0.1737,0.1319,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,137,0.0548509823950809,-0.1540166788941472,0.2518919449767737,13.953491825259754,11.94911368748359,15.70585065351814,0.2669275522988148,13.12512188700058,0.183,0.1364,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,174,0.0538109852773187,-0.1351235550734523,0.23692593714254,13.838540906611648,12.35576722438152,15.362724627661573,0.2669275522988148,13.12512188700058,0.1949,0.1437,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,221,0.0535537006806985,-0.1271496828444877,0.2273205035270347,13.787366567180982,12.541938205661593,14.900293030047251,0.2669275522988148,13.12512188700058,0.2245,0.1571,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,281,0.0570569532615511,-0.1122172535674737,0.2145655204705044,13.78407764452703,12.86226803579282,14.679160113910068,0.2669275522988148,13.12512188700058,0.2562,0.1773,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,32,312,0.0560909641069904,-0.1045181357264407,0.2014660204717948,13.801610505544293,13.161770131583651,14.55462006249966,0.2669275522988148,13.12512188700058,0.24,0.1788,1.0,1.0,0.2669275522988148,13.12512188700058
