pheno,r_internal_external_diff,mae_internal_external_diff,mae_internal_external_diff,mae_internal,mae_external,train_dataset,test_dataset,num_train
age,-0.3385727145505629,-9.24981345945594,-9.24981345945594,3.385648874311399,12.635462333767338,hcp,chcp,221
age,-0.3056700686270989,-9.075049625377105,-9.075049625377105,2.8974910231428326,11.972540648519937,hcp,chcp,735
age,-0.2426736136657546,-9.394523927423126,-9.394523927423126,3.286636903005968,12.681160830429096,hcp,chcp,137
age,-0.2129591757049118,-9.466680681175436,-9.466680681175436,3.286976859056762,12.7536575402322,hcp,chcp,281
age,-0.371296790627191,-9.160785203486634,-9.160785203486634,3.138864627929418,12.299649831416051,hcp,chcp,889
age,-0.2538677926109853,-9.785460341793865,-9.785460341793865,2.954425549337404,12.739885891131268,hcp,chcp,281
age,-0.2696926083265065,-9.077229064300155,-9.077229064300155,3.4218776025839714,12.499106666884128,hcp,chcp,358
age,-0.3191625343758273,-9.066582280731726,-9.066582280731726,3.369827178739529,12.436409459471257,hcp,chcp,108
age,-0.1500074799678711,-9.23698818992164,-9.23698818992164,3.3016468562463435,12.538635046167984,hcp,chcp,455
age,-0.1809456650741958,-10.18759197807798,-10.18759197807798,3.0419557378077937,13.229547715885772,hcp,chcp,25
age,-0.3109741943528271,-8.969893781317753,-8.969893781317753,3.0233430355989968,11.993236816916747,hcp,chcp,889
age,-0.1569044029900382,-10.68572685242441,-10.68572685242441,2.85854847594658,13.544275328370988,hcp,chcp,32
age,-0.0776670130447151,-10.164594127163344,-10.164594127163344,2.973321047584254,13.1379151747476,hcp,chcp,32
age,-0.0526271852963235,-10.49009845595339,-10.49009845595339,3.3079061622980968,13.798004618251488,hcp,chcp,67
age,-0.1621242051636097,-9.882963344002524,-9.882963344002524,3.343084495928067,13.226047839930589,hcp,chcp,32
age,-0.2557758391031792,-9.105134969939222,-9.105134969939222,3.35380295295101,12.458937922890232,hcp,chcp,358
age,-0.4062618635660958,-9.090017314799008,-9.090017314799008,3.091433134731888,12.181450449530896,hcp,chcp,889
age,-0.026348847776512,-10.611053499381535,-10.611053499381535,2.939939798659029,13.550993298040565,hcp,chcp,67
age,-0.4538208182050933,-9.204342705370989,-9.204342705370989,3.12957549195451,12.333918197325495,hcp,chcp,578
age,-0.1444277290650244,-9.896980808152016,-9.896980808152016,3.3455532927799525,13.242534100931968,hcp,chcp,67
age,-0.3913036215079052,-9.332096156165214,-9.332096156165214,3.032844330079465,12.36494048624468,hcp,chcp,455
age,-0.3402244529244648,-8.820453772432018,-8.820453772432018,3.3407926170251683,12.161246389457188,hcp,chcp,578
age,-0.0875412477162956,-9.805951238930186,-9.805951238930186,3.375851230839738,13.181802469769924,hcp,chcp,108
age,-0.276868794053417,-9.0873788541328,-9.0873788541328,3.3530879051630142,12.440466759295816,hcp,chcp,221
age,-0.4053579139569375,-9.153325112623625,-9.153325112623625,3.008209626010909,12.161534738634533,hcp,chcp,578
age,0.1164417970137174,-10.0470449007495,-10.0470449007495,3.032738702892835,13.079783603642335,hcp,chcp,85
age,-0.3451453626135092,-9.096915008656914,-9.096915008656914,3.149478514216561,12.246393522873475,hcp,chcp,889
age,-0.4198807413239392,-9.424902200528654,-9.424902200528654,3.245654456113758,12.670556656642413,hcp,chcp,85
age,-0.3698299374891651,-9.424476090267644,-9.424476090267644,3.072397087876669,12.496873178144313,hcp,chcp,735
age,-0.2514153663833452,-9.375868864147575,-9.375868864147575,3.0499339673222896,12.425802831469866,hcp,chcp,174
age,0.1564791290155875,-9.893622100419694,-9.893622100419694,3.087973862297548,12.98159596271724,hcp,chcp,108
age,-0.2251108702777795,-9.695503008049595,-9.695503008049595,3.204015996435439,12.899519004485034,hcp,chcp,108
age,-0.022179253114103,-9.903166955890356,-9.903166955890356,3.406713835924557,13.309880791814914,hcp,chcp,20
age,-0.2861957369425525,-9.11208213483254,-9.11208213483254,3.0853497810665864,12.197431915899127,hcp,chcp,578
age,-0.1045512856177404,-10.264225278633855,-10.264225278633855,3.1141394229234627,13.37836470155732,hcp,chcp,108
age,-0.150420746099542,-8.883528777161805,-8.883528777161805,3.215159899445771,12.098688676607576,hcp,chcp,455
age,-0.2948592835897083,-9.096397205366902,-9.096397205366902,3.118160078923277,12.214557284290178,hcp,chcp,358
age,-0.4186370200407309,-8.746043403997394,-8.746043403997394,3.303017725185115,12.049061129182508,hcp,chcp,358
age,-0.5269206807522993,-8.89046005349566,-8.89046005349566,3.118321901469144,12.008781954964803,hcp,chcp,281
age,-0.0994577282447474,-9.8749983045282,-9.8749983045282,3.191854382255083,13.066852686783283,hcp,chcp,108
age,0.0434077375121393,-10.95233686747548,-10.95233686747548,3.087567921732997,14.039904789208476,hcp,chcp,20
age,-0.3385204226352571,-10.427042600909468,-10.427042600909468,2.982316018667603,13.409358619577072,hcp,chcp,20
age,-0.3894542499673676,-9.129183084267472,-9.129183084267472,3.098388231495804,12.227571315763276,hcp,chcp,455
age,-0.1240952468069601,-9.42695028910678,-9.42695028910678,3.118874212088832,12.545824501195613,hcp,chcp,221
age,-0.3299227091417734,-10.870268003962115,-10.870268003962115,3.094647650297916,13.964915654260034,hcp,chcp,32
age,-0.1038158015022488,-10.02479310569839,-10.02479310569839,3.2452138608740264,13.270006966572415,hcp,chcp,137
age,-0.4013386323836193,-9.279727866846772,-9.279727866846772,3.0287935919426654,12.308521458789436,hcp,chcp,455
age,-0.4003787747860883,-10.025078590508326,-10.025078590508326,3.1106790572876,13.135757647795923,hcp,chcp,137
age,-0.3341025432981752,-10.307474823378818,-10.307474823378818,3.137893145348334,13.445367968727153,hcp,chcp,32
age,-0.2675487920464741,-9.056691148198835,-9.056691148198835,2.916507679176446,11.973198827375285,hcp,chcp,455
age,0.016338212425796,-10.572612801713856,-10.572612801713856,3.269448757066666,13.842061558780522,hcp,chcp,85
age,-0.1543323582570824,-10.076696270179331,-10.076696270179331,3.20642603740039,13.283122307579722,hcp,chcp,137
age,-0.3320834010330816,-9.430756222760497,-9.430756222760497,3.035612919136508,12.466369141897005,hcp,chcp,578
