train_dataset,test_dataset,pheno,num_train,num_test,sig_external,r_med,r_ground_truth,r_sig_ground_truth,mae_med,mae_ground_truth,mae_sig_ground_truth,r_infl_med,mae_infl_med,eval_metric,sig_external_mae
hcp,chcp,age,20,174,0.0,-0.1344689024875392,0.5735302336011818,1.0,13.698660549822767,12.158932360061776,1.0,-0.707999136088721,1.539728189760993,r,
hcp,chcp,age,20,174,1.0,0.3621164938911573,0.5735302336011818,1.0,13.311347670519996,12.158932360061776,1.0,-0.2114137397100245,1.1524153104582204,r,
hcp,chcp,age,20,221,0.0,-0.1350914682802932,0.5735302336011818,1.0,13.652251232394931,12.158932360061776,1.0,-0.708621701881475,1.4933188723331554,r,
hcp,chcp,age,20,221,1.0,0.3555808564253743,0.5735302336011818,1.0,13.233702842209368,12.158932360061776,1.0,-0.2179493771758074,1.074770482147592,r,
hcp,chcp,age,20,281,0.0,-0.1390923179148656,0.5735302336011818,1.0,13.673949679958437,12.158932360061776,1.0,-0.7126225515160475,1.5150173198966606,r,
hcp,chcp,age,20,281,1.0,0.3547056041389533,0.5735302336011818,1.0,13.252407293146025,12.158932360061776,1.0,-0.2188246294622284,1.0934749330842486,r,
hcp,chcp,age,20,348,0.0,-0.1386111161133405,0.5735302336011818,1.0,13.681298927184582,12.158932360061776,1.0,-0.7121413497145224,1.5223665671228055,r,
hcp,chcp,age,20,348,1.0,0.3615189245562833,0.5735302336011818,1.0,13.230335475537167,12.158932360061776,1.0,-0.2120113090448985,1.0714031154753911,r,
hcp,chcp,age,25,20,0.0,0.0260232433315138,0.5735302336011818,1.0,13.180205157286768,12.158932360061776,1.0,-0.547506990269668,1.0212727972249915,r,
hcp,chcp,age,25,20,1.0,0.5320660580270857,0.5735302336011818,1.0,13.24981706144156,12.158932360061776,1.0,-0.041464175574096,1.090884701379785,r,
hcp,chcp,age,25,25,0.0,0.0129640008774238,0.5735302336011818,1.0,13.4143975631236,12.158932360061776,1.0,-0.5605662327237579,1.2554652030618243,r,
hcp,chcp,age,25,25,1.0,0.4978420725820245,0.5735302336011818,1.0,13.454520701273298,12.158932360061776,1.0,-0.0756881610191573,1.2955883412115217,r,
hcp,chcp,age,25,32,0.0,-0.0068937742603948,0.5735302336011818,1.0,13.70458818892398,12.158932360061776,1.0,-0.5804240078615767,1.5456558288622038,r,
hcp,chcp,age,25,32,1.0,0.4645009160751265,0.5735302336011818,1.0,13.864272962808528,12.158932360061776,1.0,-0.1090293175260552,1.7053406027467517,r,
hcp,chcp,age,25,41,0.0,-0.026787785613907,0.5735302336011818,1.0,13.670620604947375,12.158932360061776,1.0,-0.6003180192150889,1.511688244885601,r,
hcp,chcp,age,25,41,1.0,0.4381702666705996,0.5735302336011818,1.0,13.570412552707973,12.158932360061776,1.0,-0.1353599669305822,1.411480192646195,r,
hcp,chcp,age,25,52,0.0,-0.0411821824483029,0.5735302336011818,1.0,13.605416042906018,12.158932360061776,1.0,-0.6147124160494847,1.4464836828442422,r,
hcp,chcp,age,25,52,1.0,0.4211204827737872,0.5735302336011818,1.0,13.392637394292525,12.158932360061776,1.0,-0.1524097508273946,1.2337050342307467,r,
hcp,chcp,age,25,67,0.0,-0.0579493759227864,0.5735302336011818,1.0,13.745973549092891,12.158932360061776,1.0,-0.6314796095239683,1.5870411890311171,r,
