train_dataset,test_dataset,pheno,num_train,num_test,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,r_gt,mae_gt,r_pos_rate,mae_pos_rate,r_sig_ground_truth,mae_sig_ground_truth,r_ground_truth,mae_ground_truth
hcp,chcp,age,41,108,0.2905318850037142,-0.4175118600139506,0.6394409415421347,13.319497978620952,11.050815911283353,15.25146358164634,0.5735302336011818,12.158932360061776,0.6405,0.6244,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,137,0.2911684865234405,-0.4151073352471814,0.6329717210427804,13.391891481905942,11.530513150785584,15.133318564879367,0.5735302336011818,12.158932360061776,0.6595,0.6444,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,174,0.2890075589134894,-0.4182555154526528,0.6237082117222171,13.349524596793673,11.801605942440146,15.074139721798716,0.5735302336011818,12.158932360061776,0.6759,0.6644,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,221,0.2882894081650146,-0.4180346110886913,0.6184006791916774,13.301474053737998,11.985917355675657,14.574987485685416,0.5735302336011818,12.158932360061776,0.6916,0.6792,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,281,0.2903869260517414,-0.4310122717100502,0.6147265827861403,13.31482725371596,12.250977055134342,14.426618462205166,0.5735302336011818,12.158932360061776,0.7058,0.7022,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,41,348,0.2931898458632417,-0.4425748732657885,0.6089159322133882,13.36329223202846,12.566714711062176,14.329401427786506,0.5735302336011818,12.158932360061776,0.72,0.72,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,20,0.2752912576314207,-0.4687957657282839,0.7542890738106642,13.01000283461944,7.479401938742862,19.50406512630563,0.5735302336011818,12.158932360061776,0.3871,0.3521,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,25,0.2828451442257063,-0.4356478909522014,0.7301511122667488,13.21914621324867,8.477910786057818,18.50862027888553,0.5735302336011818,12.158932360061776,0.4441,0.4022,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,32,0.2788780133256818,-0.4154961300706867,0.7105369694533363,13.540097222637264,8.877081064073323,17.93816713143642,0.5735302336011818,12.158932360061776,0.4797,0.4427,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,41,0.277913813593169,-0.3882770227038008,0.6928673051759561,13.425416939750194,9.387850061145429,17.206962855049923,0.5735302336011818,12.158932360061776,0.5198,0.4877,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,52,0.2835335940611928,-0.378841834862175,0.6738950470851306,13.300320243700796,9.546179888801412,16.68034449523354,0.5735302336011818,12.158932360061776,0.5619,0.5309,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,67,0.2928977074395009,-0.366760752287701,0.6586350116399085,13.409361311300287,10.627509495947054,16.240457705191307,0.5735302336011818,12.158932360061776,0.6017,0.5762,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,85,0.2949308896927993,-0.3502195203351473,0.6480757126678264,13.30945091078338,10.802077730645372,15.751747365068484,0.5735302336011818,12.158932360061776,0.6254,0.605,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,108,0.2919432882538523,-0.3508552519220385,0.6381363860857853,13.25197505223136,10.972783898819962,15.20941256430105,0.5735302336011818,12.158932360061776,0.6443,0.6274,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,137,0.2928681260835656,-0.3524622820432384,0.6304276599897121,13.324810292758308,11.38600912826957,15.07844620261058,0.5735302336011818,12.158932360061776,0.6613,0.6453,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,174,0.2971347244334884,-0.3387414009785743,0.6238547907113562,13.281366654722046,11.663770595715375,15.004579143519148,0.5735302336011818,12.158932360061776,0.6839,0.666,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,221,0.2993721507465533,-0.3311345883339532,0.6178783471056335,13.247310938494168,11.849278735222647,14.504146981123702,0.5735302336011818,12.158932360061776,0.7033,0.6871,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,281,0.3042459971232424,-0.3319281916239192,0.6146912992004908,13.255729375805616,12.133386048463075,14.334893923742769,0.5735302336011818,12.158932360061776,0.7184,0.7067,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,52,348,0.3056950632563646,-0.3280305890556871,0.6167902129311904,13.317121527186716,12.508146072051122,14.223051508083898,0.5735302336011818,12.158932360061776,0.73,0.7214,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,20,0.2930880263955127,-0.4079576960925051,0.7516866138197033,12.888724877669848,7.338302805171629,19.4561814743754,0.5735302336011818,12.158932360061776,0.3996,0.3589,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,25,0.2989247909600152,-0.3668749510205041,0.7304708385395543,13.101943401878358,8.257778488450466,18.42971588114762,0.5735302336011818,12.158932360061776,0.4539,0.4115,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,32,0.2928630342202925,-0.3469206045791926,0.7139164176340593,13.433925394908098,8.755629678271848,17.81490518952202,0.5735302336011818,12.158932360061776,0.4964,0.4578,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,41,0.2943767529719743,-0.3255070952918074,0.6953708852019723,13.294052618180729,9.309329332207248,17.109439135832897,0.5735302336011818,12.158932360061776,0.5409,0.5054,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,52,0.2944658638557375,-0.3020697923446426,0.6755632481036113,13.166979813185096,9.423116895447036,16.568850677207074,0.5735302336011818,12.158932360061776,0.5856,0.5451,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,67,0.301858138870714,-0.2905062221295063,0.6620500906775982,13.278706557965824,10.524316300570783,16.15116096567936,0.5735302336011818,12.158932360061776,0.6319,0.5943,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,85,0.3020273488709089,-0.2828804058830639,0.654241140640072,13.185162924788216,10.671047401735724,15.653486908667269,0.5735302336011818,12.158932360061776,0.6639,0.6321,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,108,0.2969412257048417,-0.2795585572090726,0.6449805467994438,13.11758049375636,10.826197215698356,15.109079395053373,0.5735302336011818,12.158932360061776,0.6878,0.659,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,137,0.2967184768571965,-0.2726897351002667,0.6375521119740002,13.192545526943697,11.323279419203814,15.016061458035775,0.5735302336011818,12.158932360061776,0.7057,0.6796,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,174,0.3006006035906463,-0.2576225730880727,0.6335163782648678,13.155997716976582,11.57945870092756,14.91873835462127,0.5735302336011818,12.158932360061776,0.7271,0.7063,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,221,0.300012824273229,-0.2462796662503792,0.6277057522798971,13.09170256833109,11.763374083514467,14.44676697127122,0.5735302336011818,12.158932360061776,0.7428,0.7242,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,281,0.3017800426262293,-0.2415317173712977,0.6243611911280145,13.103882198517386,12.038398638974188,14.324742657833037,0.5735302336011818,12.158932360061776,0.7558,0.7474,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,67,348,0.3100747863244839,-0.240528779372426,0.6304650875915707,13.122960863795846,12.338663923620024,14.177626455073844,0.5735302336011818,12.158932360061776,0.76,0.7665,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,20,0.3482413562846426,-0.3434944728618778,0.7704765211632216,12.71740358370405,7.160904521926254,19.369269003938008,0.5735302336011818,12.158932360061776,0.462,0.4225,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,25,0.3506586715009185,-0.2989346760849203,0.7467278201549119,12.941867531930187,8.035359986985751,18.32593528875352,0.5735302336011818,12.158932360061776,0.5172,0.4788,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,32,0.3412029571652435,-0.2768188376726768,0.7299118712532137,13.277251559469336,8.570080148680061,17.68485361213133,0.5735302336011818,12.158932360061776,0.5646,0.5296,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,41,0.3413955204370068,-0.2529009949103116,0.7136682489269082,13.165731508738006,9.136363036892044,17.02051686942147,0.5735302336011818,12.158932360061776,0.6163,0.5857,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,52,0.3422613343450285,-0.2346760324804389,0.7010956652933512,13.0090515079197,9.247579507660053,16.445040304270645,0.5735302336011818,12.158932360061776,0.6634,0.6322,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,67,0.346311232121014,-0.2178014162524479,0.6899496502418702,13.125036284333536,10.35700992147855,16.010087584679546,0.5735302336011818,12.158932360061776,0.7128,0.6857,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,85,0.3455480905045436,-0.2008489251144955,0.6816244257767338,13.03005135696208,10.516550687896515,15.528738710778542,0.5735302336011818,12.158932360061776,0.7456,0.7169,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,108,0.3406773796177925,-0.196035973703764,0.6707946681814851,12.965842944443269,10.635148947279882,14.987888256506247,0.5735302336011818,12.158932360061776,0.7713,0.7512,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,137,0.3401077016161484,-0.1945378915413669,0.6647921801304123,13.04656534373576,11.163410837614617,14.879329112364402,0.5735302336011818,12.158932360061776,0.7949,0.7813,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,174,0.3429628421639799,-0.1889807995116409,0.657465570300392,13.00771558852413,11.397943957185566,14.802281855615911,0.5735302336011818,12.158932360061776,0.8165,0.8029,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,221,0.3428647031153622,-0.1807793036989757,0.6505934856152094,12.940230862729145,11.591365610641384,14.311386579759946,0.5735302336011818,12.158932360061776,0.8336,0.8231,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,281,0.3463455687207585,-0.1849416330206723,0.6457190375511309,12.957914268825196,11.859272481414555,14.137291010634256,0.5735302336011818,12.158932360061776,0.8468,0.8439,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,85,348,0.350194650808939,-0.1937047628056163,0.6466659913817026,13.010775656801703,12.128025426343267,13.90221479369836,0.5735302336011818,12.158932360061776,0.86,0.8694,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,20,0.3930190659173057,-0.2113401001820697,0.7634389233667321,12.528739851852349,6.993090846731597,19.24628154097832,0.5735302336011818,12.158932360061776,0.5217,0.4847,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,25,0.3969118634600215,-0.162817149900557,0.7424531455235877,12.75552245530584,7.910973448610328,18.12186059136878,0.5735302336011818,12.158932360061776,0.5969,0.5541,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,32,0.3880818636622545,-0.1217685962263153,0.7207833686469101,13.097853497013856,8.419069012757182,17.5384673813337,0.5735302336011818,12.158932360061776,0.6558,0.6179,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,41,0.3857932551706257,-0.0915958109392855,0.7014143357716648,12.988844457553997,8.968265006051018,16.86634622685118,0.5735302336011818,12.158932360061776,0.7142,0.6796,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,52,0.3854447690592525,-0.0659542168470932,0.6890707407553581,12.83579402118398,9.084061356310086,16.258612765753554,0.5735302336011818,12.158932360061776,0.7686,0.7336,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,67,0.3894726418421291,-0.0416963778762384,0.6730773670937144,12.946608662946812,10.185235289418705,15.83978883580846,0.5735302336011818,12.158932360061776,0.8252,0.7959,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,85,0.3907547950714807,-0.0187950431372484,0.6634768102731841,12.84656663152558,10.32965526416356,15.34912168824143,0.5735302336011818,12.158932360061776,0.8599,0.8399,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,108,0.3849923548997711,-0.0073689201807042,0.6522774848588364,12.786727452216624,10.471153305654475,14.778237911649512,0.5735302336011818,12.158932360061776,0.8829,0.8684,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,137,0.3827828862293771,0.0079266619676558,0.6463218100127822,12.87715674094329,11.008611342179265,14.65701835771453,0.5735302336011818,12.158932360061776,0.9014,0.8942,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,174,0.3834995566140525,0.0211697262306448,0.6387237130901162,12.831712419338972,11.263580066835187,14.58077984997947,0.5735302336011818,12.158932360061776,0.9218,0.9185,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,221,0.3805285594310342,0.0312745559529275,0.633508450604486,12.772202911045497,11.45344355523547,14.06872924910103,0.5735302336011818,12.158932360061776,0.9361,0.9354,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,281,0.3815757351544805,0.0382696431365697,0.6286148279979394,12.782749951130032,11.737439191918645,13.860210294166716,0.5735302336011818,12.158932360061776,0.9451,0.9467,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,108,348,0.3851341664939778,0.0384113566877259,0.6249339340268278,12.842637238495549,11.9912333960874,13.63667508587468,0.5735302336011818,12.158932360061776,0.95,0.9551,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,20,0.4126759215544318,-0.1614968206235634,0.7634835788013017,12.438222016776871,6.900830363726416,19.164430452207604,0.5735302336011818,12.158932360061776,0.5562,0.5189,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,25,0.4151256496815249,-0.1023128201642285,0.7448510757653604,12.679253588919794,7.788423428600748,18.01338458292075,0.5735302336011818,12.158932360061776,0.6349,0.5976,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,32,0.409790968821948,-0.0593951965907817,0.7222688245412826,13.017320909408944,8.321337848888374,17.432091632524433,0.5735302336011818,12.158932360061776,0.7019,0.6619,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,41,0.4060044761733214,-0.0243703225833549,0.7034426491133785,12.911203027278894,8.942449471116543,16.82411603500621,0.5735302336011818,12.158932360061776,0.767,0.7295,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,52,0.4058439089049879,-0.0021563338468476,0.6858239267673605,12.75254371355688,9.031604138903832,16.160402345947166,0.5735302336011818,12.158932360061776,0.8203,0.7902,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,67,0.409400243098694,0.0228416515550683,0.6717348024342854,12.88234965325756,10.147398333696446,15.720546142183204,0.5735302336011818,12.158932360061776,0.871,0.8487,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,85,0.40965146596676,0.0381355926115408,0.6621093389595742,12.77073312837593,10.30258455420078,15.246575108657034,0.5735302336011818,12.158932360061776,0.9019,0.8862,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,108,0.4052351289122397,0.0543037216901721,0.6544309489175021,12.70545608159062,10.435331979263983,14.68272877700034,0.5735302336011818,12.158932360061776,0.9236,0.9123,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,137,0.4032252020565001,0.0635877188048312,0.6502051300976286,12.805072301538246,10.983725668021618,14.501560165514745,0.5735302336011818,12.158932360061776,0.9399,0.9323,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,174,0.401385861895965,0.0852312128913616,0.6423480662331356,12.76263840404777,11.234120099420318,14.462308467951674,0.5735302336011818,12.158932360061776,0.9556,0.947,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,221,0.3987297407223849,0.0961045311315839,0.6360191057604356,12.698132225908497,11.430576076506114,13.920006418581556,0.5735302336011818,12.158932360061776,0.9695,0.962,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,281,0.3992130749877119,0.1119345196072623,0.6316708792458507,12.711689171037865,11.750095367100446,13.708206848206183,0.5735302336011818,12.158932360061776,0.9792,0.9752,1.0,1.0,0.5735302336011818,12.158932360061776
hcp,chcp,age,137,348,0.3945977623205331,0.1315615035728436,0.6374654238441892,12.75894779285861,12.049388836959093,13.542601990251454,0.5735302336011818,12.158932360061776,0.98,0.98,1.0,1.0,0.5735302336011818,12.158932360061776
